#multi:
,green,,white,,
t,x,y,x,y,
0.000,0.372,0.332,0.499,0.247
0.010,0.375,0.331,0.498,0.247
0.020,0.376,0.328,0.495,0.249
0.030,0.378,0.326,0.495,0.249
0.040,0.380,0.324,0.492,0.249
0.050,0.382,0.323,0.492,0.249
0.060,0.384,0.321,0.491,0.250
0.070,0.385,0.320,0.489,0.250
0.080,0.388,0.318,0.489,0.251
0.090,0.390,0.316,0.486,0.251
0.100,0.392,0.314,0.486,0.252
0.110,0.393,0.313,0.483,0.252
0.120,0.395,0.311,0.483,0.253
0.130,0.396,0.309,0.481,0.253
0.140,0.398,0.308,0.480,0.254
0.150,0.400,0.306,0.478,0.254
0.160,0.403,0.304,0.476,0.256
0.170,0.403,0.303,0.476,0.256
0.180,0.405,0.301,0.473,0.256
0.190,0.408,0.299,0.473,0.257
0.200,0.409,0.298,0.470,0.257
0.210,0.409,0.298,0.471,0.257
0.220,0.405,0.300,0.470,0.257
0.230,0.403,0.301,0.470,0.255
0.240,0.400,0.302,0.472,0.255
0.250,0.397,0.304,0.471,0.255
0.260,0.395,0.305,0.471,0.253
0.270,0.392,0.307,0.472,0.253
0.280,0.389,0.308,0.473,0.253
0.290,0.387,0.309,0.472,0.252
0.300,0.385,0.311,0.472,0.251
0.310,0.382,0.312,0.474,0.250
0.320,0.379,0.313,0.473,0.250
0.330,0.377,0.314,0.473,0.249
0.340,0.373,0.316,0.474,0.248
0.350,0.371,0.317,0.473,0.248
0.360,0.368,0.319,0.474,0.248
0.370,0.366,0.321,0.474,0.246
0.380,0.364,0.322,0.475,0.246
0.390,0.362,0.323,0.475,0.246
0.400,0.358,0.325,0.473,0.243
