#multi:
,white,,red,,
t,x,y,x,y,
0.000,0.418,0.346,0.489,0.249
0.010,0.420,0.343,0.488,0.249
0.020,0.423,0.343,0.487,0.251
0.030,0.425,0.342,0.483,0.250
0.040,0.427,0.341,0.482,0.252
0.050,0.429,0.338,0.480,0.252
0.060,0.431,0.338,0.479,0.252
0.070,0.433,0.336,0.477,0.253
0.080,0.435,0.334,0.476,0.254
0.090,0.438,0.334,0.474,0.254
0.100,0.440,0.332,0.472,0.255
0.110,0.442,0.331,0.470,0.255
0.120,0.445,0.330,0.469,0.255
0.130,0.446,0.329,0.467,0.255
0.140,0.448,0.329,0.467,0.253
0.150,0.449,0.328,0.466,0.251
0.160,0.451,0.329,0.467,0.249
0.170,0.453,0.329,0.466,0.246
0.180,0.454,0.328,0.466,0.244
0.190,0.456,0.328,0.466,0.241
0.200,0.458,0.328,0.465,0.239
0.210,0.460,0.328,0.465,0.237
0.220,0.461,0.327,0.464,0.234
0.230,0.463,0.328,0.464,0.232
0.240,0.464,0.327,0.463,0.230
0.250,0.466,0.327,0.463,0.228
0.260,0.468,0.327,0.463,0.225
0.270,0.469,0.326,0.462,0.223
0.280,0.471,0.326,0.462,0.221
0.290,0.473,0.326,0.461,0.218
0.300,0.474,0.326,0.461,0.216
0.310,0.476,0.326,0.460,0.214
0.320,0.477,0.325,0.460,0.212
0.330,0.479,0.326,0.459,0.210
0.340,0.480,0.321,0.459,0.207
