#multi:
,green,,red,,
t,x,y,x,y,
0.010,0.357,0.327,0.490,0.243
0.020,0.360,0.326,0.489,0.245
0.030,0.361,0.323,0.487,0.246
0.040,0.364,0.322,0.485,0.247
0.050,0.366,0.319,0.484,0.247
0.060,0.368,0.318,0.481,0.247
0.070,0.371,0.316,0.480,0.249
0.080,0.373,0.315,0.478,0.250
0.090,0.375,0.313,0.477,0.250
0.100,0.378,0.312,0.475,0.251
0.110,0.379,0.311,0.473,0.252
0.120,0.382,0.309,0.471,0.252
0.130,0.384,0.306,0.469,0.253
0.140,0.387,0.305,0.468,0.254
0.150,0.388,0.303,0.466,0.255
0.160,0.391,0.302,0.464,0.255
0.170,0.393,0.301,0.462,0.255
0.180,0.395,0.298,0.460,0.257
0.190,0.397,0.297,0.459,0.257
0.200,0.397,0.297,0.460,0.256
0.210,0.395,0.298,0.461,0.255
0.220,0.395,0.297,0.462,0.254
0.230,0.395,0.298,0.464,0.253
0.240,0.394,0.298,0.465,0.251
0.250,0.393,0.298,0.466,0.250
0.260,0.393,0.299,0.466,0.249
0.270,0.392,0.298,0.467,0.247
0.280,0.391,0.299,0.468,0.247
0.290,0.390,0.299,0.470,0.246
0.300,0.390,0.300,0.471,0.245
0.310,0.389,0.299,0.472,0.244
0.320,0.388,0.299,0.473,0.242
0.330,0.387,0.300,0.474,0.241
0.340,0.387,0.301,0.475,0.240
0.350,0.386,0.300,0.476,0.239
0.360,0.386,0.300,0.477,0.238
0.370,0.386,0.300,0.479,0.237
0.380,0.384,0.301,0.480,0.236
0.390,0.384,0.302,0.481,0.235
0.400,0.383,0.301,0.482,0.233
0.410,0.383,0.301,0.483,0.232
0.420,0.381,0.302,0.484,0.231
0.430,0.381,0.303,0.485,0.230
0.440,0.381,0.302,0.485,0.228
0.450,0.380,0.302,0.487,0.227
0.460,0.379,0.303,0.488,0.227
0.470,0.379,0.303,0.489,0.226
0.480,0.379,0.303,0.490,0.224
0.490,0.377,0.304,0.489,0.222
