#multi:
,white,,black,,
t,x,y,x,y,
0.020,0.436,0.246,0.361,0.306
0.030,0.433,0.245,0.359,0.303
0.040,0.431,0.245,0.362,0.302
0.050,0.430,0.245,0.363,0.300
0.060,0.428,0.245,0.364,0.298
0.070,0.426,0.245,0.365,0.296
0.080,0.424,0.245,0.366,0.295
0.090,0.422,0.246,0.364,0.294
0.100,0.421,0.245,0.363,0.294
0.110,0.420,0.244,0.362,0.293
0.120,0.419,0.244,0.360,0.293
0.130,0.417,0.243,0.359,0.293
0.140,0.415,0.243,0.358,0.292
0.150,0.414,0.242,0.356,0.293
0.160,0.412,0.242,0.356,0.292
0.170,0.412,0.241,0.354,0.291
0.180,0.411,0.241,0.352,0.292
0.190,0.410,0.240,0.352,0.292
0.200,0.408,0.240,0.350,0.291
0.210,0.407,0.240,0.350,0.291
0.220,0.405,0.240,0.349,0.291
0.230,0.404,0.239,0.347,0.291
0.240,0.402,0.239,0.345,0.290
0.250,0.401,0.238,0.344,0.289
0.260,0.399,0.238,0.342,0.289
0.270,0.398,0.237,0.342,0.288
0.280,0.397,0.237,0.341,0.289
0.290,0.395,0.237,0.338,0.288
