#multi:
,green,,red,,
t,x,y,x,y,
0,010,0,534,0,314,0,460,0,389
0,020,0,532,0,313,0,459,0,388
0,030,0,529,0,312,0,458,0,385
0,040,0,526,0,311,0,457,0,381
0,050,0,524,0,310,0,456,0,378
0,060,0,521,0,309,0,455,0,375
0,070,0,518,0,309,0,454,0,373
0,080,0,515,0,308,0,452,0,370
0,090,0,512,0,307,0,452,0,367
0,100,0,510,0,306,0,451,0,365
0,110,0,507,0,305,0,450,0,362
0,120,0,504,0,304,0,448,0,361
0,130,0,502,0,303,0,447,0,357
0,140,0,499,0,303,0,446,0,355
0,150,0,497,0,302,0,445,0,352
0,160,0,494,0,301,0,444,0,349
0,170,0,492,0,298,0,442,0,348
0,180,0,491,0,295,0,440,0,348
0,190,0,489,0,293,0,438,0,347
0,200,0,488,0,291,0,435,0,345
0,210,0,487,0,288,0,433,0,345
0,220,0,485,0,285,0,431,0,344
0,230,0,484,0,283,0,428,0,343
0,240,0,483,0,281,0,426,0,342
0,250,0,481,0,279,0,423,0,341
0,260,0,480,0,276,0,421,0,340
0,270,0,479,0,274,0,419,0,339
0,280,0,477,0,271,0,416,0,337
0,290,0,476,0,268,0,414,0,336
0,300,0,474,0,266,0,411,0,336
0,310,0,473,0,264,0,409,0,335
0,320,0,472,0,261,0,406,0,334
0,330,0,471,0,258,0,404,0,333
0,340,0,469,0,257,0,401,0,332
0,350,0,467,0,252,0,399,0,331
